zone_id,node_idx,node_id,lat,lon,demand_g,tw_open,tw_close,is_depot
0,0,depot,-23.563536,-46.543798,0,0,1440,1
0,1,352,-23.530454,-46.5562,600,720,1080,0
0,2,444,-23.590649,-46.541716,22800,720,1080,0
0,3,661,-23.548841,-46.595182,1500,720,1080,0
0,4,838,-23.569725,-46.525425,750,720,1080,0
0,5,1021,-23.621427,-46.505098,11400,480,720,0
0,6,1201,-23.569352,-46.542327,750,720,1080,0
0,7,1663,-23.522749,-46.50679,975,720,1080,0
0,8,1914,-23.593995,-46.552091,600,720,1080,0
0,9,2315,-23.565653,-46.491558,400,720,1080,0
0,10,2338,-23.57725,-46.56308,19250,720,1080,0
0,11,2432,-23.567368,-46.561671,2248,720,1080,0
0,12,2932,-23.598827,-46.54723,850,480,720,0
0,13,3308,-23.538887,-46.520096,750,480,720,0
0,14,3597,-23.619376,-46.493432,2150,720,1080,0
0,15,3638,-23.598029,-46.543543,2500,720,1080,0
0,16,3689,-23.609358,-46.489552,1200,720,1080,0
0,17,3755,-23.54953,-46.516425,300,720,1080,0
0,18,3772,-23.601201,-46.549088,750,720,1080,0
0,19,3966,-23.538359,-46.506645,225,720,1080,0
0,20,5314,-23.56837,-46.522148,600,720,1080,0
0,21,6658,-23.596446,-46.520223,20100,480,720,0
0,22,6683,-23.527312,-46.56208,250,480,720,0
0,23,6854,-23.584745,-46.584303,305,720,1080,0
0,24,6909,-23.549052,-46.544985,30000,480,720,0
0,25,7437,-23.606953,-46.523468,750,720,1080,0
0,26,7527,-23.555459,-46.562506,24200,480,720,0
0,27,9166,-23.530824,-46.564552,250,720,1080,0
0,28,9543,-23.602318,-46.541161,750,480,720,0
0,29,10289,-23.569725,-46.525425,750,720,1080,0
0,30,10529,-23.534805,-46.527376,10700,720,1080,0
0,31,11363,-23.540299,-46.552677,300,720,1080,0
0,32,11546,-23.621427,-46.505098,750,720,1080,0
0,33,12062,-23.534514,-46.52325,750,480,720,0
0,34,12939,-23.620468,-46.481612,750,720,1080,0
0,35,13193,-23.586381,-46.551741,900,720,1080,0
0,36,13351,-23.567055,-46.542263,200,720,1080,0
0,37,13406,-23.600587,-46.517697,800,720,1080,0
0,38,13706,-23.512736,-46.509592,75,720,1080,0
0,39,14587,-23.556705,-46.507432,750,720,1080,0
0,40,14724,-23.528101,-46.558224,306,720,1080,0
0,41,14736,-23.562215,-46.600915,1200,720,1080,0
0,42,15686,-23.592409,-46.582129,750,720,1080,0
0,43,16054,-23.527203,-46.504182,750,720,1080,0
0,44,16074,-23.587317,-46.488473,750,720,1080,0
0,45,16277,-23.616358,-46.512557,700,720,1080,0
0,46,16610,-23.591046,-46.510734,600,720,1080,0
0,47,16722,-23.555316,-46.594376,750,720,1080,0
0,48,17131,-23.557937,-46.497227,3110,720,1080,0
0,49,17859,-23.563367,-46.583121,750,720,1080,0
0,50,17907,-23.539224,-46.591436,1100,720,1080,0
0,51,18310,-23.606005,-46.481681,750,720,1080,0
0,52,18864,-23.594588,-46.516481,750,720,1080,0
0,53,19005,-23.575449,-46.542659,200,720,1080,0
0,54,19060,-23.568397,-46.594926,533,720,1080,0
1,0,depot,-23.553947,-46.658448,0,0,1440,1
1,1,4858,-23.567731,-46.626244,750,720,1080,0
1,2,14369,-23.541701,-46.652571,900,480,720,0
1,3,2241,-23.539369,-46.638486,300,480,720,0
1,4,5375,-23.537053,-46.679558,850,720,1080,0
1,5,14577,-23.520119,-46.66584,820,720,1080,0
1,6,1635,-23.536609,-46.642445,750,720,1080,0
1,7,11500,-23.560753,-46.6791,967,480,720,0
1,8,14074,-23.563294,-46.643484,7000,720,1080,0
1,9,14437,-23.530825,-46.697271,750,480,720,0
1,10,18104,-23.552917,-46.639703,750,720,1080,0
1,11,8193,-23.553279,-46.695541,700,480,720,0
1,12,205,-23.531294,-46.656404,750,720,1080,0
1,13,9457,-23.532546,-46.649175,8800,720,1080,0
1,14,3871,-23.572246,-46.651871,750,720,1080,0
1,15,8150,-23.555772,-46.639553,750,480,720,0
1,16,5627,-23.530825,-46.697271,350,720,1080,0
1,17,2006,-23.544731,-46.686769,750,480,720,0
1,18,18203,-23.551664,-46.630932,750,720,1080,0
1,19,2939,-23.538163,-46.676835,767,720,1080,0
1,20,15970,-23.564426,-46.656806,600,480,720,0
1,21,9968,-23.520905,-46.648407,1000,720,1080,0
1,22,13136,-23.589533,-46.711621,550,480,720,0
1,23,3023,-23.534554,-46.682136,16515,480,720,0
1,24,5516,-23.542531,-46.681914,200,720,1080,0
1,25,600,-23.559014,-46.615365,750,720,1080,0
1,26,3948,-23.567724,-46.611192,2550,720,1080,0
1,27,9412,-23.543513,-46.658855,350,720,1080,0
1,28,4315,-23.555474,-46.619802,517,480,720,0
1,29,9171,-23.53466,-46.683188,700,720,1080,0
1,30,11604,-23.55591,-46.653248,750,720,1080,0
1,31,13106,-23.54852,-46.609339,21750,720,1080,0
1,32,15462,-23.551963,-46.698297,9200,480,720,0
1,33,10284,-23.568847,-46.63517,750,720,1080,0
1,34,9545,-23.559366,-46.663184,22700,720,1080,0
1,35,14659,-23.557581,-46.697133,2000,720,1080,0
1,36,5731,-23.547742,-46.634881,750,720,1080,0
1,37,6347,-23.54852,-46.609339,850,480,720,0
1,38,4163,-23.540014,-46.642552,710,720,1080,0
1,39,16587,-23.536014,-46.668886,750,720,1080,0
1,40,7977,-23.547803,-46.647839,750,720,1080,0
1,41,11829,-23.579622,-46.673063,100,720,1080,0
1,42,2941,-23.532288,-46.703172,1800,480,720,0
1,43,253,-23.565974,-46.644844,792,480,720,0
1,44,8563,-23.531512,-46.64923,5400,480,720,0
1,45,6235,-23.555201,-46.660508,750,720,1080,0
1,46,1266,-23.58281,-46.67505,750,720,1080,0
1,47,17349,-23.541831,-46.679131,195,720,1080,0
1,48,17490,-23.54488,-46.640328,750,720,1080,0
1,49,10259,-23.51878,-46.668708,416,720,1080,0
1,50,16127,-23.588384,-46.68118,400,720,1080,0
1,51,12464,-23.538163,-46.676835,1060,480,720,0
1,52,3978,-23.545127,-46.692716,750,720,1080,0
1,53,2994,-23.529491,-46.69441,200,480,720,0
1,54,8557,-23.53182,-46.610973,750,480,720,0
1,55,16254,-23.561265,-46.656554,1500,720,1080,0
